"","potential","amount","fold_q1","fold_med","fold_q3","sim_q1","sim_med","sim_q3","exp_q1","exp_med","exp_q3"
"AFG3L2",0.569553805774278,651,0.0986943164362519,0.265745007680492,0.501536098310291,0.113565643648764,0.18490986138045,0.304159287837582,0.901004489178229,0.975670380813414,1.00792631226404
"CLPP",0.486439195100612,556,0.294064748201439,0.476618705035971,0.655125899280576,0.339153111739745,0.452271911686802,0.540727609941614,1.24664815114658,1.27425115773927,1.33921563709852
"CLPX",0.42082239720035,481,0.10966735966736,0.317047817047817,0.553534303534303,0.0722175615212527,0.213221463221464,0.361323529411765,0.910475856435823,0.966092371713874,0.976736450217756
"DNAJA3",0.655293088363955,749,0.175567423230975,0.260347129506008,0.347797062750334,0.112840346534654,0.194456719202631,0.278710109088632,0.903277197291197,0.945152127131843,0.998906430223817
"DNAJC19",0.688538932633421,787,0.186149936467599,0.280177890724269,0.327191867852605,0.104315476190476,0.234201388888889,0.284327327476794,0.831188276745468,0.857577938304235,0.900996443665685
"GRPEL2",0.547681539807524,626,0.0870607028753994,0.252396166134185,0.369009584664537,0.082728172965836,0.153014184397163,0.262154471544715,0.570864870913191,0.628809492298806,0.734441634091713
"HSCB",0.517935258092738,592,0.143158783783783,0.203547297297297,0.530827702702703,0.152413807881035,0.228049359278595,0.296534991280613,0.81773934671827,0.872802364799472,0.933954343187008
"HSPA9",0.549431321084864,628,0.102707006369427,0.348726114649682,0.45859872611465,0.152432126696832,0.219328953037484,0.322708021923269,1.70163371932324,1.74913153770072,1.84167395031619
"HSPD1",0.604549431321085,691,0.209479015918958,0.322720694645442,0.406295224312591,0.256714471968709,0.305197368421052,0.377646878824969,1.86186065387831,1.90981120375553,1.94768353790361
"HSPE1",0.598425196850394,684,0.363304093567252,0.44298245614035,0.507675438596491,0.377939439493182,0.429956674231483,0.51329599566341,1.60051828732455,1.66421727082862,1.73307217215276
"HTRA2",0.611548556430446,699,0.176323319027182,0.201001430615165,0.348712446351931,0.125298833819242,0.196681565759177,0.232739763311223,0.856339250495216,0.878779359532955,0.906822548346617
"LONP1",0.52755905511811,603,0.17412935323383,0.270315091210613,0.338308457711443,0.17726226993865,0.238612836438924,0.312091845643444,1.25075223988029,1.29868289668684,1.38930097748948
"SPG7",0.52405949256343,599,0.0972454090150248,0.159432387312187,0.270868113522538,0.136677438307873,0.228300557892981,0.289463376419898,0.651020888701022,0.773985036129942,0.831446287426306
"TRAP1",0.626421697287839,716,0.145600558659218,0.204608938547487,0.337290502793297,0.133557046979866,0.210910926870748,0.268616467908495,1.08853184184219,1.12666399641135,1.15144269858411
"YME1L1",0.397200349956255,454,0.167400881057269,0.426211453744493,0.52863436123348,0.223639455782313,0.281504370089168,0.417718162533831,1.26448965211346,1.3123062538128,1.32844716200787
