"Var1","Var2","value"
"CLPP","SPG7",0.335958005249344
"LONP1","SPG7",0.333333333333333
"HTRA2","SPG7",0.385826771653543
"HSCB","SPG7",0.378827646544182
"HSPE1","SPG7",0.3665791776028
"DNAJC19","SPG7",0.430446194225722
"GRPEL2","SPG7",0.228346456692913
"HSPA9","SPG7",0.190726159230096
"HSPD1","SPG7",0.251093613298338
"AFG3L2","SPG7",0.225721784776903
"DNAJA3","SPG7",0.324584426946632
"TRAP1","SPG7",0.303587051618548
"YME1L1","SPG7",0.0979877515310586
"CLPX","SPG7",0.118985126859143
"LONP1","CLPP",0.41994750656168
"HTRA2","CLPP",0.385826771653543
"HSCB","CLPP",0.411198600174978
"HSPE1","CLPP",0.42169728783902
"DNAJC19","CLPP",0.427821522309711
"GRPEL2","CLPP",0.195100612423447
"HSPA9","CLPP",0.216097987751531
"HSPD1","CLPP",0.286964129483815
"AFG3L2","CLPP",0.195100612423447
"DNAJA3","CLPP",0.320209973753281
"TRAP1","CLPP",0.31583552055993
"YME1L1","CLPP",0.0656167979002625
"CLPX","CLPP",0.0831146106736658
"HTRA2","LONP1",0.391951006124234
"HSCB","LONP1",0.375328083989501
"HSPE1","LONP1",0.416447944006999
"DNAJC19","LONP1",0.416447944006999
"GRPEL2","LONP1",0.231846019247594
"HSPA9","LONP1",0.272090988626422
"HSPD1","LONP1",0.336832895888014
"AFG3L2","LONP1",0.266841644794401
"DNAJA3","LONP1",0.385826771653543
"TRAP1","LONP1",0.383202099737533
"YME1L1","LONP1",0.125109361329834
"CLPX","LONP1",0.147856517935258
"HSCB","HTRA2",0.408573928258968
"HSPE1","HTRA2",0.446194225721785
"DNAJC19","HTRA2",0.495188101487314
"GRPEL2","HTRA2",0.328083989501312
"HSPA9","HTRA2",0.31846019247594
"HSPD1","HTRA2",0.387576552930884
"AFG3L2","HTRA2",0.334208223972004
"DNAJA3","HTRA2",0.438320209973753
"TRAP1","HTRA2",0.426071741032371
"YME1L1","HTRA2",0.21084864391951
"CLPX","HTRA2",0.216097987751531
"HSPE1","HSCB",0.449693788276465
"DNAJC19","HSCB",0.478565179352581
"GRPEL2","HSCB",0.242344706911636
"HSPA9","HSCB",0.21259842519685
"HSPD1","HSCB",0.295713035870516
"AFG3L2","HSCB",0.206474190726159
"DNAJA3","HSCB",0.321959755030621
"TRAP1","HSCB",0.303587051618548
"YME1L1","HSCB",0.0909886264216973
"CLPX","HSCB",0.0997375328083989
"DNAJC19","HSPE1",0.536307961504812
"GRPEL2","HSPE1",0.319335083114611
"HSPA9","HSPE1",0.327209098862642
"HSPD1","HSPE1",0.418197725284339
"AFG3L2","HSPE1",0.300962379702537
"DNAJA3","HSPE1",0.42169728783902
"TRAP1","HSPE1",0.398075240594926
"YME1L1","HSPE1",0.171478565179353
"CLPX","HSPE1",0.174103237095363
"GRPEL2","DNAJC19",0.381452318460192
"HSPA9","DNAJC19",0.365704286964129
"HSPD1","DNAJC19",0.439195100612423
"AFG3L2","DNAJC19",0.37007874015748
"DNAJA3","DNAJC19",0.47419072615923
"TRAP1","DNAJC19",0.440069991251094
"YME1L1","DNAJC19",0.220472440944882
"CLPX","DNAJC19",0.243219597550306
"HSPA9","GRPEL2",0.412073490813648
"HSPD1","GRPEL2",0.431321084864392
"AFG3L2","GRPEL2",0.416447944006999
"DNAJA3","GRPEL2",0.407699037620297
"TRAP1","GRPEL2",0.373578302712161
"YME1L1","GRPEL2",0.342957130358705
"CLPX","GRPEL2",0.345581802274716
"HSPD1","HSPA9",0.489063867016623
"AFG3L2","HSPA9",0.478565179352581
"DNAJA3","HSPA9",0.466316710411199
"TRAP1","HSPA9",0.443569553805774
"YME1L1","HSPA9",0.340332458442695
"CLPX","HSPA9",0.36745406824147
"AFG3L2","HSPD1",0.457567804024497
"DNAJA3","HSPD1",0.500437445319335
"TRAP1","HSPD1",0.477690288713911
"YME1L1","HSPD1",0.321084864391951
"CLPX","HSPD1",0.336832895888014
"DNAJA3","AFG3L2",0.489063867016623
"TRAP1","AFG3L2",0.469816272965879
"YME1L1","AFG3L2",0.356080489938758
"CLPX","AFG3L2",0.395450568678915
"TRAP1","DNAJA3",0.554680664916885
"YME1L1","DNAJA3",0.320209973753281
"CLPX","DNAJA3",0.355205599300087
"YME1L1","TRAP1",0.298337707786527
"CLPX","TRAP1",0.338582677165354
"CLPX","YME1L1",0.342082239720035
