num_removed,num_extinct,prop_removed,prop_remain,cancer,run_type,sim,run_name
0,0,0,1,BRCA,by_module,321,by_module_321
1,15,0.06666666666666667,0.9746621621621622,BRCA,by_module,321,by_module_321
2,40,0.13333333333333333,0.9324324324324325,BRCA,by_module,321,by_module_321
3,73,0.2,0.8766891891891891,BRCA,by_module,321,by_module_321
4,138,0.26666666666666666,0.7668918918918919,BRCA,by_module,321,by_module_321
5,263,0.3333333333333333,0.5557432432432432,BRCA,by_module,321,by_module_321
6,299,0.4,0.49493243243243246,BRCA,by_module,321,by_module_321
7,339,0.4666666666666667,0.4273648648648649,BRCA,by_module,321,by_module_321
8,395,0.5333333333333333,0.3327702702702703,BRCA,by_module,321,by_module_321
9,415,0.6,0.2989864864864865,BRCA,by_module,321,by_module_321
10,430,0.6666666666666666,0.2736486486486487,BRCA,by_module,321,by_module_321
11,464,0.7333333333333333,0.21621621621621623,BRCA,by_module,321,by_module_321
12,493,0.8,0.16722972972972971,BRCA,by_module,321,by_module_321
13,516,0.8666666666666667,0.1283783783783784,BRCA,by_module,321,by_module_321
14,557,0.9333333333333333,0.0591216216216216,BRCA,by_module,321,by_module_321
15,592,1,0,BRCA,by_module,321,by_module_321
0,0,0,1,COAD,by_module,321,by_module_321
1,24,0.06666666666666667,0.9727582292849035,COAD,by_module,321,by_module_321
2,62,0.13333333333333333,0.9296254256526675,COAD,by_module,321,by_module_321
3,94,0.2,0.8933030646992055,COAD,by_module,321,by_module_321
4,112,0.26666666666666666,0.8728717366628831,COAD,by_module,321,by_module_321
5,143,0.3333333333333333,0.8376844494892168,COAD,by_module,321,by_module_321
6,173,0.4,0.8036322360953462,COAD,by_module,321,by_module_321
7,183,0.4666666666666667,0.7922814982973894,COAD,by_module,321,by_module_321
8,222,0.5333333333333333,0.7480136208853576,COAD,by_module,321,by_module_321
9,290,0.6,0.6708286038592508,COAD,by_module,321,by_module_321
10,492,0.6666666666666666,0.44154370034052215,COAD,by_module,321,by_module_321
11,534,0.7333333333333333,0.39387060158910325,COAD,by_module,321,by_module_321
12,650,0.8,0.2622020431328036,COAD,by_module,321,by_module_321
13,705,0.8666666666666667,0.19977298524404086,COAD,by_module,321,by_module_321
14,816,0.9333333333333333,0.07377979568671966,COAD,by_module,321,by_module_321
15,881,1,0,COAD,by_module,321,by_module_321
0,0,0,1,HNSC,by_module,321,by_module_321
1,12,0.06666666666666667,0.985239852398524,HNSC,by_module,321,by_module_321
