"Chap","Prot","DB","evidence","weight"
"HSPA9","ALDH4A1","local","coexpression",1
"HSPA9","TOMM40L","local","coexpression",1
"HSPA9","NDUFAF1","local","coexpression",1
"HSPA9","ACADSB","local","coexpression",1
"HSPA9","MRPS9","local","coexpression",1
"HSPA9","MRPL15","local","coexpression",1
"HSPA9","AK3","local","coexpression",1
"HSPA9","CYCS","local","coexpression",1
"HSPA9","MIPEP","local","coexpression",1
"HSPA9","LYRM7","local","coexpression",1
"HSPA9","CRAT","local","coexpression",1
"HSPA9","PCCB","local","coexpression",1
"HSPA9","MRPS7","local","coexpression",1
"HSPA9","MRPL3","local","coexpression",1
"HSPA9","PCCA","local","coexpression",1
"HSPA9","MCCC1","local","coexpression",1
"HSPA9","CLPB","local","coexpression",1
"HSPA9","PDK1","local","coexpression",1
"HSPA9","MRPL49","local","coexpression",1
"HSPA9","TMEM126A","local","coexpression",1
"HSPA9","HCCS","local","coexpression",1
"HSPA9","HIBADH","local","coexpression",1
"HSPA9","MRPL19","local","coexpression",1
"HSPA9","SLC25A30","local","coexpression",1
"HSPA9","BDH1","local","coexpression",1
"HSPA9","ABCB7","local","coexpression",1
"HSPA9","TIMM17A","local","coexpression",1
"HSPA9","ALDH9A1","local","coexpression",1
"HSPA9","MRPS18C","local","coexpression",1
"HSPA9","MARS2","local","coexpression",1
"HSPA9","ALDH6A1","local","coexpression",1
"HSPA9","GATC","local","coexpression",1
"HSPA9","ACAD8","local","coexpression",1
"HSPA9","PPIF","local","coexpression",1
"HSPA9","IVD","local","coexpression",1
"HSPA9","L2HGDH","local","coexpression",1
"HSPA9","SLC25A5","local","coexpression",1
"HSPA9","TOMM22","local","coexpression",1
"HSPA9","ACAA2","local","coexpression",1
"HSPA9","MRPL30","local","coexpression",1
"HSPA9","AFG1L","local","coexpression",1
"HSPA9","ATP5F1","local","coexpression",1
"HSPA9","COX7C","local","coexpression",1
"HSPA9","CHCHD3","local","coexpression",1
"HSPA9","COQ10B","local","coexpression",1
"HSPA9","POLDIP2","local","coexpression",1
"HSPA9","SLC25A10","local","coexpression",1
"HSPA9","SLC25A13","local","coexpression",1
"HSPA9","PDK3","local","coexpression",1
"HSPA9","MRPL22","local","coexpression",1
