"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","BCKDHA",0,0,0,1,1,0,0,0,1,0,1,1
"HSPA9","UQCRH",0,1,0,0,0,0,0,0,0,1,0,0
"HSPA9","HIGD2A",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ATP5O",0,1,0,0,0,0,0,0,0,0,0,0
"HSPA9","ECHS1",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","LETMD1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COX6A1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COX15",0,0,1,1,1,0,0,0,0,1,1,1
"HSPA9","HADHA",0,1,0,1,1,0,0,0,0,1,1,0
"HSPA9","ETFA",0,0,0,1,1,0,0,0,1,1,1,1
"HSPA9","NDUFS7",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","CPT2",1,1,0,1,1,0,0,0,1,1,1,1
"HSPA9","BCKDHB",0,0,0,1,1,0,0,0,1,0,1,1
"HSPA9","IDH3B",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","LARS2",1,0,1,1,1,0,0,0,1,1,1,1
"HSPA9","ACADS",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","LETM1",0,0,0,0,1,0,1,0,1,1,0,1
"HSPA9","ATP5I",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","OPA1",0,1,1,1,1,0,0,1,1,1,1,1
"HSPA9","AUH",0,0,1,1,1,0,0,0,0,0,0,1
"HSPA9","SUCLG1",0,1,0,1,1,0,0,0,0,1,0,1
"HSPA9","NDUFV2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COQ6",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL43",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ABHD11",0,0,1,0,0,0,0,0,0,0,0,0
"HSPA9","ATP5J",0,1,0,0,1,0,0,0,0,0,0,1
"HSPA9","NDUFB8",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","DLD",1,1,1,1,1,1,1,1,1,1,1,1
"HSPA9","AIFM1",1,1,1,1,1,0,1,1,1,1,1,0
"HSPA9","ECHDC3",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","APOOL",1,0,0,1,1,0,1,0,1,0,1,1
"HSPA9","MRPL10",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRRF",0,1,1,0,0,0,0,0,0,1,0,0
"HSPA9","NDUFS8",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ACADM",0,0,1,1,1,0,0,0,1,0,1,1
"HSPA9","IMMT",1,1,1,1,1,1,1,1,1,1,1,1
"HSPA9","TIMM9",0,0,0,0,0,0,0,0,0,1,0,1
"HSPA9","SLC25A4",0,0,0,1,1,0,0,0,0,0,1,1
"HSPA9","SAMM50",0,0,0,1,1,0,0,0,0,1,0,0
"HSPA9","NDUFS2",0,0,1,1,1,1,1,0,1,1,0,1
"HSPA9","NDUFV1",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","ACO2",0,0,1,1,1,1,0,0,1,1,1,1
"HSPA9","SUPV3L1",0,1,1,0,0,0,0,1,0,1,0,1
"HSPA9","FECH",1,0,0,1,1,0,0,0,0,0,1,1
"HSPA9","MTIF2",0,1,1,1,1,0,1,1,1,1,1,1
"HSPA9","PHB",0,0,0,1,1,0,0,0,0,1,0,0
"HSPA9","HIBCH",0,1,0,1,1,0,0,0,0,1,0,0
"HSPA9","MRPS2",0,0,0,0,0,0,0,1,0,1,0,0
"HSPA9","SURF1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","PRDX3",1,1,1,1,1,0,0,0,1,1,1,1
"HSPA9","GHITM",1,1,1,1,1,1,1,0,1,1,1,1
"HSPA9","GUF1",1,1,0,1,1,0,0,0,0,1,1,0
"HSPA9","TIMM13",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","LYRM4",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL16",0,1,0,0,0,0,0,0,0,1,0,0
"HSPA9","MRPL40",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","IDH3G",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SDHC",1,0,1,1,1,1,0,0,1,0,1,1
"HSPA9","NDUFB5",0,1,1,1,1,0,0,0,0,0,1,1
"HSPA9","SDHAF2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COQ10A",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","C21ORF33",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TXN2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS18A",0,0,0,0,1,0,0,0,0,0,0,1
"HSPA9","COX6C",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFB9",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MTCH2",0,1,0,1,1,0,0,0,1,1,1,1
"HSPA9","NDUFA6",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLC25A20",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","MRPL1",0,1,0,0,1,0,0,0,0,1,0,1
"HSPA9","TIMM44",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","COX17",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MINOS1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SOD2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COX6B1",0,0,0,0,0,0,0,0,0,0,0,0
