cancer,under_curve,run_type,sim,chap_removed
THCA,0.6824713109069915,high_to_low,0,DNAJC19->SPG7->CLPP->AFG3L2->HSCB->DNAJA3->HSPE1->HSPA9->HTRA2->GRPEL2->YME1L1->CLPX->LONP1->TRAP1->HSPD1
UCEC,0.6171614253888322,high_to_low,0,AFG3L2->HSPD1->HSPA9->CLPX->YME1L1->GRPEL2->HSPE1->DNAJC19->DNAJA3->CLPP->LONP1->TRAP1->HTRA2->HSCB->SPG7
BRCA,0.5574480715228328,low_to_high,0,DNAJA3->HSCB->GRPEL2->DNAJC19->TRAP1->AFG3L2->CLPX->YME1L1->HSPA9->SPG7->HSPD1->HTRA2->HSPE1->LONP1->CLPP
COAD,0.6173709285563842,low_to_high,0,AFG3L2->SPG7->HTRA2->HSCB->CLPX->YME1L1->LONP1->HSPA9->DNAJA3->GRPEL2->TRAP1->HSPE1->DNAJC19->HSPD1->CLPP
HNSC,0.58563391233456,low_to_high,0,GRPEL2->CLPX->YME1L1->HSPA9->AFG3L2->SPG7->TRAP1->DNAJA3->LONP1->HSPD1->HTRA2->CLPP->HSCB->HSPE1->DNAJC19
KIRC,0.6526048587658131,low_to_high,0,HTRA2->GRPEL2->HSCB->LONP1->SPG7->DNAJC19->CLPP->HSPD1->YME1L1->TRAP1->HSPA9->HSPE1->DNAJA3->CLPX->AFG3L2
KIRP,0.6904798965702743,low_to_high,0,GRPEL2->DNAJC19->HTRA2->YME1L1->HSCB->SPG7->LONP1->CLPP->CLPX->HSPA9->HSPD1->HSPE1->DNAJA3->TRAP1->AFG3L2
LIHC,0.6108023867300753,low_to_high,0,SPG7->LONP1->HSPA9->DNAJC19->TRAP1->HSCB->DNAJA3->HSPD1->CLPX->CLPP->AFG3L2->HSPE1->YME1L1->HTRA2->GRPEL2
LUAD,0.5610236653858761,low_to_high,0,AFG3L2->CLPX->GRPEL2->DNAJC19->HSPA9->DNAJA3->TRAP1->LONP1->YME1L1->SPG7->HSCB->HTRA2->CLPP->HSPD1->HSPE1
LUSC,0.5479932550575655,low_to_high,0,YME1L1->CLPX->LONP1->HTRA2->SPG7->AFG3L2->HSPA9->HSCB->TRAP1->DNAJA3->CLPP->GRPEL2->HSPD1->DNAJC19->HSPE1
PRAD,0.6169680626742418,low_to_high,0,SPG7->TRAP1->DNAJA3->HTRA2->HSPD1->GRPEL2->AFG3L2->HSPA9->YME1L1->DNAJC19->CLPX->HSPE1->HSCB->LONP1->CLPP
STAD,0.583105259977046,low_to_high,0,SPG7->YME1L1->HSCB->HTRA2->GRPEL2->CLPX->AFG3L2->LONP1->DNAJC19->DNAJA3->CLPP->TRAP1->HSPA9->HSPD1->HSPE1
THCA,0.6788337922340935,low_to_high,0,HSPD1->TRAP1->LONP1->CLPX->YME1L1->GRPEL2->HTRA2->HSPA9->HSPE1->DNAJA3->HSCB->AFG3L2->CLPP->SPG7->DNAJC19
UCEC,0.5899736121276742,low_to_high,0,SPG7->HSCB->HTRA2->TRAP1->LONP1->CLPP->DNAJA3->DNAJC19->HSPE1->GRPEL2->YME1L1->CLPX->HSPA9->HSPD1->AFG3L2
BRCA,0.5692474894142839,random,1,YME1L1->HSPD1->CLPP->SPG7->DNAJC19->HTRA2->HSPA9->LONP1->HSPE1->HSCB->GRPEL2->DNAJA3->AFG3L2->CLPX->TRAP1
COAD,0.620516614630323,random,1,HSPA9->CLPP->DNAJA3->SPG7->LONP1->HTRA2->GRPEL2->YME1L1->AFG3L2->TRAP1->CLPX->HSCB->HSPD1->DNAJC19->HSPE1
