"Var1","Var2","value","cancer"
"TRAP1","HTRA2",0.0778652668416448,"COAD"
"AFG3L2","HTRA2",0,"COAD"
"YME1L1","HTRA2",0,"COAD"
"CLPX","HTRA2",0,"COAD"
"HSCB","HTRA2",0.00962379702537183,"COAD"
"DNAJC19","HTRA2",0.00174978127734033,"COAD"
"HSPD1","HTRA2",0.0122484689413823,"COAD"
"HSPE1","HTRA2",0.020997375328084,"COAD"
"HSPA9","HTRA2",0.00349956255468067,"COAD"
"GRPEL2","HTRA2",0,"COAD"
"DNAJA3","LONP1",0.0778652668416448,"COAD"
"CLPP","LONP1",0.119860017497813,"COAD"
"TRAP1","LONP1",0.125109361329834,"COAD"
"AFG3L2","LONP1",0.005249343832021,"COAD"
"YME1L1","LONP1",0,"COAD"
"CLPX","LONP1",0.000874890638670166,"COAD"
"HSCB","LONP1",0.00174978127734033,"COAD"
"DNAJC19","LONP1",0.000874890638670166,"COAD"
"HSPD1","LONP1",0.010498687664042,"COAD"
"HSPE1","LONP1",0.0148731408573928,"COAD"
"HSPA9","LONP1",0.005249343832021,"COAD"
"GRPEL2","LONP1",0,"COAD"
"CLPP","DNAJA3",0.125109361329834,"COAD"
"TRAP1","DNAJA3",0.139982502187227,"COAD"
"AFG3L2","DNAJA3",0,"COAD"
"YME1L1","DNAJA3",0.000874890638670166,"COAD"
"CLPX","DNAJA3",0.000874890638670166,"COAD"
"HSCB","DNAJA3",0.0078740157480315,"COAD"
"DNAJC19","DNAJA3",0.041994750656168,"COAD"
"HSPD1","DNAJA3",0.047244094488189,"COAD"
"HSPE1","DNAJA3",0.0656167979002625,"COAD"
"HSPA9","DNAJA3",0.0288713910761155,"COAD"
"GRPEL2","DNAJA3",0.0078740157480315,"COAD"
"TRAP1","CLPP",0.162729658792651,"COAD"
"AFG3L2","CLPP",0,"COAD"
"YME1L1","CLPP",0,"COAD"
"CLPX","CLPP",0,"COAD"
"HSCB","CLPP",0.0148731408573928,"COAD"
