"chap","Name","1","2"
0,"HSPA9",0,0.518833127423903
1,"HSPD1",0.145615738232593,0.496187062321005
2,"HSPE1",1.00755894617836,4.96803905485449e-05
3,"SPG7",0.45243557148443,0
4,"CLPP",0.863163101885732,0
5,"DNAJA3",0.127361231484645,0.426217124010224
6,"LONP1",0.53074368404217,0.0203214174177622
7,"TRAP1",0.125685811796103,0.371674589955245
8,"YME1L1",0,0.440149594902978
9,"CLPX",0,0.429933777144737
10,"AFG3L2",0,0.522093494793555
11,"HTRA2",0.475064041060103,0.0706577634862948
12,"DNAJC19",0.681898428974685,0.0672182389710289
13,"GRPEL2",4.72676676752229e-06,0.39384865865078
14,"HSCB",0.605733338379335,0
