"","chaperone1","chaperone2","protein","prot_name","obs_percent","random_percent"
"59","HSPA9","HSPD1","ENSG00000154723","ATP5J",0.0833333333333333,1
"60","HSPA9","HSPD1","ENSG00000091140","DLD",0.916666666666667,1
"61","HSPA9","HSPD1","ENSG00000156709","AIFM1",0.666666666666667,1
"62","HSPA9","HSPD1","ENSG00000155008","APOOL",0.25,1
"63","HSPA9","HSPD1","ENSG00000148187","MRRF",0.166666666666667,1
"64","HSPA9","HSPD1","ENSG00000117054","ACADM",0.333333333333333,1
"65","HSPA9","HSPD1","ENSG00000132305","IMMT",0.916666666666667,1
"66","HSPA9","HSPD1","ENSG00000100575","TIMM9",0.166666666666667,1
"67","HSPA9","HSPD1","ENSG00000151729","SLC25A4",0.0833333333333333,1
"68","HSPA9","HSPD1","ENSG00000100347","SAMM50",0.166666666666667,1
"69","HSPA9","HSPD1","ENSG00000158864","NDUFS2",0.416666666666667,1
"70","HSPA9","HSPD1","ENSG00000167792","NDUFV1",0.0833333333333333,1
"71","HSPA9","HSPD1","ENSG00000100412","ACO2",0.25,1
"72","HSPA9","HSPD1","ENSG00000156502","SUPV3L1",0.416666666666667,1
"73","HSPA9","HSPD1","ENSG00000066926","FECH",0.25,1
"74","HSPA9","HSPD1","ENSG00000085760","MTIF2",0.833333333333333,1
"75","HSPA9","HSPD1","ENSG00000167085","PHB",0.25,1
"76","HSPA9","HSPD1","ENSG00000198130","HIBCH",0.333333333333333,1
"77","HSPA9","HSPD1","ENSG00000122140","MRPS2",0.166666666666667,1
"78","HSPA9","HSPD1","ENSG00000165672","PRDX3",0.583333333333333,1
"79","HSPA9","HSPD1","ENSG00000165678","GHITM",0.666666666666667,1
"80","HSPA9","HSPD1","ENSG00000151806","GUF1",0.25,1
"81","HSPA9","HSPD1","ENSG00000166902","MRPL16",0.166666666666667,1
"82","HSPA9","HSPD1","ENSG00000143252","SDHC",0.333333333333333,1
"83","HSPA9","HSPD1","ENSG00000136521","NDUFB5",0.25,1
"84","HSPA9","HSPD1","ENSG00000096080","MRPS18A",0.166666666666667,1
"85","HSPA9","HSPD1","ENSG00000109919","MTCH2",0.583333333333333,1
