node,group,type
PRAD,1,Cancer
THCA,1,Cancer
LIHC,2,Cancer
COAD,3,Cancer
STAD,3,Cancer
BRCA,4,Cancer
LUAD,4,Cancer
LUSC,4,Cancer
HNSC,5,Cancer
KIRP,6,Cancer
KIRC,7,Cancer
UCEC,7,Cancer
CLPP,1,Chaperon
HSPE1,1,Chaperon
AFG3L2,2,Chaperon
CLPX,2,Chaperon
YME1L1,2,Chaperon
DNAJC19,3,Chaperon
HSCB,3,Chaperon
HTRA2,3,Chaperon
LONP1,3,Chaperon
SPG7,3,Chaperon
GRPEL2,4,Chaperon
DNAJA3,5,Chaperon
HSPA9,5,Chaperon
HSPD1,5,Chaperon
TRAP1,5,Chaperon
