node,group,type
THCA,1,Cancer
LIHC,2,Cancer
HNSC,3,Cancer
UCEC,4,Cancer
LUSC,5,Cancer
KIRP,6,Cancer
COAD,7,Cancer
STAD,7,Cancer
BRCA,8,Cancer
LUAD,8,Cancer
KIRC,9,Cancer
PRAD,10,Cancer
HSPD1,1,Chaperon
GRPEL2,2,Chaperon
LONP1,3,Chaperon
HSPA9,4,Chaperon
DNAJC19,5,Chaperon
CLPX,6,Chaperon
YME1L1,6,Chaperon
CLPP,7,Chaperon
HSPE1,7,Chaperon
HTRA2,8,Chaperon
SPG7,9,Chaperon
AFG3L2,10,Chaperon
DNAJA3,11,Chaperon
TRAP1,11,Chaperon
HSCB,12,Chaperon
