"name","potential","amount"
"HSPA9",0.549431321084864,628
"HSPD1",0.604549431321085,691
"HSPE1",0.598425196850394,684
"SPG7",0.52405949256343,599
"CLPP",0.486439195100612,556
"DNAJA3",0.655293088363955,749
"LONP1",0.52755905511811,603
"TRAP1",0.626421697287839,716
"YME1L1",0.397200349956255,454
"CLPX",0.42082239720035,481
"AFG3L2",0.569553805774278,651
"HTRA2",0.611548556430446,699
"DNAJC19",0.688538932633421,787
"GRPEL2",0.547681539807524,626
"HSCB",0.517935258092738,592
