,Breast Invasive Carcinoma.tsv,Colon_Adenocarcinoma.tsv,Head_and_Neck_Squamous_Cell_Carcinoma.tsv,Kidney_Renal_Clear_Cell_Carcinoma.tsv,Kidney_Renal_Papillary_Cell_Carcinoma.tsv,Liver_Hepatocellular_Carcinoma.tsv,Lung_Adenocarcinoma.tsv,Lung_Squamous_Cell_Carcinoma.tsv,Prostate_Adenocarcinoma.tsv,Stomach_Adenocarcinoma.tsv,Thyroid_Carcinoma.tsv,Uterine_Corpus_Endometrial_Carcinoma.tsv
HSPA9,69.08152916,75.7390083,51.12266764,70.5683518,60.41858323,80.65495157,49.60229931,52.13057776,62.86736083,44.75169264,45.39366237,50.54494049
HSPD1,82.0540646,161.4355975,72.44584265,72.85785523,86.35659459,112.1569269,71.7091399,95.9064085,79.48517249,82.38646611,39.5135226,80.44930722
HSPE1,42.77589722,66.79442528,37.71470623,30.25748345,53.52028508,72.09553447,40.59951137,55.81275165,44.84597534,48.86755002,23.12644612,47.5019095
SPG7,4.496051172,6.546925894,4.409705845,6.578144745,9.843042462,4.421705545,5.880403186,5.477538435,6.005690787,4.297995055,7.438320265,7.479206859
CLPP,17.66108985,30.59568714,17.60111191,18.57139363,20.72192883,19.37006939,15.7479327,19.03960001,26.05027676,17.95707014,16.86141422,25.56065716
DNAJA3,10.7885951,14.72771534,8.765830688,7.73406225,11.9153114,9.563980169,8.713102056,9.717478959,8.86158028,7.905321518,7.397778098,8.036428475
LONP1,16.75887614,25.49809629,17.09278919,19.01762259,26.9560368,24.18607439,18.06059308,20.30697178,20.45656019,13.6601268,19.48590712,29.91808133
TRAP1,13.04042876,25.74916258,13.23060392,13.54404302,19.29683902,13.6512068,11.28616622,14.06058377,11.56471472,12.50251779,6.788979888,14.51311837
YME1L1,27.223953,21.64571034,20.61719937,20.4353856,14.72552429,13.31757813,21.98211755,21.19038929,21.03686457,18.68604876,19.52157456,17.51484002
CLPX,9.40355618,9.44312962,9.410441797,7.261006447,7.997570453,10.63952929,8.184304587,9.096883227,9.585128685,8.543381298,9.931507338,7.961070134
AFG3L2,9.540418257,9.506010152,10.06942693,12.13496264,11.60932218,7.317231093,7.542140069,10.53636931,9.404646757,8.607930028,8.106644363,7.317709538
HTRA2,7.588348367,7.97645782,7.540696452,8.35333646,9.166641272,5.651337473,7.378732352,8.466105733,7.205509886,4.871585262,7.118079708,7.677103952
DNAJC19,8.930143641,6.788265031,5.376746353,7.139257885,7.269470973,7.66259332,6.005561972,10.4398329,10.03296565,6.752688826,6.828455313,7.271122873
GRPEL2,5.365470883,6.062036273,5.609743565,6.076795495,3.058929506,2.855133955,3.993184167,5.214830336,3.974629684,4.22853709,2.882586264,4.279852879
HSCB,6.794091201,5.875261488,5.950634418,7.685265052,7.159999255,9.002583841,7.243456885,8.455709731,10.31045127,4.821692233,8.121503684,9.940521391
